Removed 24_25 free 	chromium-libs-media-freeworld
Removed 24_25 free 	devede
Removed 24_25 free 	libdvbpsi
Removed 24_25 free 	mlt
Removed 24_25 free 	mpg123
Removed 24_25 free 	perl-Crypt-IDEA
Removed 24_25 nonfree 	ufoai-data
Removed 24_25 free 	xmms-mp3
Removed 25_26 free 	a52dec
Removed 25_26 free 	akmods
Removed 25_26 free 	cAudio-freeworld
Removed 25_26 free 	dolphin-emu
Removed 25_26 free 	kmodtool
Removed 25_26 free 	lame
Removed 25_26 free 	libmad
Removed 25_26 free 	libvdpau-va-gl
Removed 25_26 free 	madplay
Removed 25_26 free 	pcsxr
Removed 25_26 free 	vbam
Removed 26_27 free 	ffmpeg-compat
Removed 26_27 free 	foo2zjs
Removed 26_27 nonfree 	libspotify
Removed 26_27 nonfree 	lpf-skype
Removed 26_27 free 	miam-player
Removed 26_27 nonfree 	qmc2
Removed 26_27 free 	sonic-visualiser-freeworld
Removed 26_27 free 	sox-plugins-freeworld
Removed 27_28 free 	bcg729
Removed 27_28 free 	DVDAuthorWizard
Removed 27_28 free 	DVDRipOMatic
Removed 27_28 free 	dvdrip
Removed 27_28 nonfree 	e-uae
Removed 27_28 free 	gmediafinder
Removed 27_28 nonfree 	gnome-video-arcade
Removed 27_28 free 	libtxc_dxtn
Removed 27_28 free 	m2vmp2cut
Removed 27_28 free 	npapi-vlc
Removed 27_28 nonfree 	nvidia-304xx-kmod
Removed 27_28 free 	subtitleripper
Removed 27_28 free 	transcode
Removed 27_28 free 	twolame
Removed 27_28 nonfree 	xorg-x11-drv-nvidia-304xx
Removed 28_29 free 	kwave
Removed 28_29 free 	mp3fs
Removed 29_30 free 	pangzero
Added 24_25 nonfree 	 cannonball
Added 24_25 free 	 chromium-freeworld
Added 24_25 nonfree 	 dwarffortress
Added 24_25 nonfree 	 EmptyEpsilon
Added 24_25 free 	 fs-uae-launcher
Added 24_25 free 	 fs-uae
Added 24_25 free 	 kodi-inputstream-adaptive
Added 24_25 free 	 kodi-peripheral-joystick
Added 24_25 free 	 kodi-pvr-argustv
Added 24_25 free 	 kodi-pvr-demo
Added 24_25 free 	 kodi-pvr-dvblink
Added 24_25 free 	 kodi-pvr-dvbviewer
Added 24_25 free 	 kodi-pvr-filmon
Added 24_25 free 	 kodi-pvr-hts
Added 24_25 free 	 kodi-pvr-iptvsimple
Added 24_25 free 	 kodi-pvr-mediaportal-tvserver
Added 24_25 free 	 kodi-pvr-mythtv
Added 24_25 free 	 kodi-pvr-nextpvr
Added 24_25 free 	 kodi-pvr-njoy
Added 24_25 free 	 kodi-pvr-pctv
Added 24_25 free 	 kodi-pvr-stalker
Added 24_25 free 	 kodi-pvr-vbox
Added 24_25 free 	 kodi-pvr-vdr-vnsi
Added 24_25 free 	 kodi-pvr-vuplus
Added 24_25 free 	 kodi-pvr-wmc
Added 24_25 free 	 libtgvoip
Added 24_25 free 	 libvlcpp
Added 24_25 nonfree 	 lpf-cleartype-fonts
Added 24_25 nonfree 	 lpf-mscore-fonts
Added 24_25 nonfree 	 lpf-mscore-tahoma-fonts
Added 24_25 free 	 mlt-freeworld
Added 24_25 free 	 mp4tools
Added 24_25 nonfree 	 nvidia-modprobe
Added 24_25 nonfree 	 nvidia-persistenced
Added 24_25 nonfree 	 nvidia-settings
Added 24_25 nonfree 	 nvidia-xconfig
Added 24_25 free 	 pianobar
Added 24_25 free 	 tilem
Added 24_25 free 	 vdr-softhddevice-openglosd
Added 24_25 free 	 vidcutter
Added 24_25 free 	 zoneminder
Added 25_26 nonfree 	 comical
Added 25_26 free 	 comskip
Added 25_26 nonfree 	 discord
Added 25_26 nonfree 	 dwarftherapist
Added 25_26 free 	 fs-uae-arcade
Added 25_26 free 	 HandBrake
Added 25_26 free 	 kodi-visualization-spectrum
Added 25_26 free 	 medialibrary
Added 25_26 nonfree 	 nrdp
Added 25_26 free 	 qwinff
Added 25_26 free 	 rpmfusion-free-remix-kickstarts
Added 25_26 nonfree 	 rpmfusion-nonfree-remix-kickstarts
Added 25_26 free 	 shotcut
Added 25_26 nonfree 	 unifi
Added 25_26 free 	 vlmc
Added 26_27 free 	 crystalhd-kmod
Added 26_27 free 	 crystalhd
Added 26_27 free 	 deadbeef-mpris2-plugin
Added 26_27 free 	 deadbeef
Added 26_27 nonfree 	 dfhack
Added 26_27 free 	 ldoce5viewer
Added 26_27 nonfree 	 openhantek
Added 26_27 free 	 qtox
Added 27_28 free 	 compat-ffmpeg28
Added 27_28 free 	 firebird-emu
Added 27_28 free 	 performous
Added 27_28 free 	 rpmfusion-free-obsolete-packages
Added 27_28 nonfree 	 rpmfusion-nonfree-obsolete-packages
Added 27_28 free 	 vcmi
Added 27_28 free 	 vdr-vaapidevice
Added 28_29 free 	 qmmp-plugin-pack-freeworld
