Removed 26_27 free 	ffmpeg-compat
Removed 26_27 free 	foo2zjs
Removed 26_27 nonfree 	libspotify
Removed 26_27 nonfree 	lpf-skype
Removed 26_27 free 	miam-player
Removed 26_27 nonfree 	qmc2
Removed 26_27 free 	sonic-visualiser-freeworld
Removed 26_27 free 	sox-plugins-freeworld
Removed 27_28 free 	bcg729
Removed 27_28 free 	DVDAuthorWizard
Removed 27_28 free 	dvdrip
Removed 27_28 free 	DVDRipOMatic
Removed 27_28 nonfree 	e-uae
Removed 27_28 free 	gmediafinder
Removed 27_28 nonfree 	gnome-video-arcade
Removed 27_28 free 	libtxc_dxtn
Removed 27_28 free 	m2vmp2cut
Removed 27_28 free 	npapi-vlc
Removed 27_28 nonfree 	nvidia-304xx-kmod
Removed 27_28 free 	subtitleripper
Removed 27_28 free 	transcode
Removed 27_28 free 	twolame
Removed 27_28 nonfree 	xorg-x11-drv-nvidia-304xx
Removed 28_29 free 	kwave
Removed 28_29 free 	mp3fs
Removed 29_30 free 	pangzero
Added 26_27 free 	 crystalhd
Added 26_27 free 	 crystalhd-kmod
Added 26_27 free 	 deadbeef
Added 26_27 free 	 deadbeef-mpris2-plugin
Added 26_27 nonfree 	 dfhack
Added 26_27 free 	 ldoce5viewer
Added 26_27 nonfree 	 openhantek
Added 26_27 free 	 qtox
Added 27_28 free 	 compat-ffmpeg28
Added 27_28 free 	 firebird-emu
Added 27_28 free 	 performous
Added 27_28 free 	 rpmfusion-free-obsolete-packages
Added 27_28 nonfree 	 rpmfusion-nonfree-obsolete-packages
Added 27_28 free 	 vcmi
Added 27_28 free 	 vdr-vaapidevice
Added 28_29 free 	 qmmp-plugin-pack-freeworld
