Added 08_09 free 	 cmus
Added 08_09 free 	 dvbcut
Added 08_09 free 	 dvdstyler
Added 08_09 free 	 gambatte
Added 08_09 nonfree 	 larabie-fonts
Added 08_09 nonfree 	 mac
Added 08_09 free 	 mock-rpmfusion-free
Added 08_09 nonfree 	 mock-rpmfusion-nonfree
Added 08_09 free 	 motion
Added 08_09 nonfree 	 pgplot
Added 08_09 free 	 rpmfusion-packager
Added 08_09 free 	 terminatorX
Added 08_09 free 	 wxsvg
Added 08_09 free 	 xbill
Added 08_09 free 	 xmms2-freeworld
Added 08_09 nonfree 	 xmms2-nonfree
Added 09_10 free 	 alsa-plugins-freeworld
Added 09_10 free 	 h264enc
Added 09_10 free 	 ogmrip
Added 09_10 nonfree 	 perl-IP-Country
Added 09_10 nonfree 	 proas
Added 09_10 nonfree 	 roadfighter
Added 09_10 nonfree 	 spectrum-roms
Added 10_11 free 	 kdenlive
Added 10_11 free 	 libmimic
Added 10_11 free 	 opencore-amr
Added 10_11 free 	 python-vlc
Added 10_11 free 	 tivodecode
Added 10_11 free 	 xtables-addons-kmod
Added 11_12 nonfree 	 amap
Added 11_12 nonfree 	 faac
Added 11_12 free 	 ffmpegthumbnailer
Added 11_12 nonfree 	 frogatto
Added 11_12 free 	 get_iplayer
Added 11_12 nonfree 	 gsview
Added 11_12 free 	 guvcview
Added 11_12 free 	 kffmpegthumbnailer
Added 11_12 nonfree 	 pushover
Added 11_12 nonfree 	 r5u87x-firmware
Added 11_12 free 	 rtmpdump
Added 12_13 free 	 dosemu
Added 12_13 nonfree 	 meka
Added 12_13 free 	 mythtv-status
Added 12_13 free 	 ProjectX
Added 12_13 nonfree 	 spear-demo
Added 12_13 nonfree 	 wolf3d-shareware
Added 12_13 nonfree 	 wolf4sdl
Added 12_13 free 	 xtables-addons
Added 13_14 free 	 imagination
Added 13_14 nonfree 	 mod_h264_streaming
Added 13_14 free 	 openshot
Added 13_14 free 	 phonon-backend-vlc
Added 13_14 nonfree 	 tarsnap
Added 13_14 free 	 vo-amrwbenc
Added 13_14 free 	 xmris
Added 14_15 free 	 chromaprint-tools
Added 14_15 free 	 libaacs
Added 14_15 free 	 libva-intel-driver
Added 14_15 nonfree 	 openni-nite
Added 14_15 nonfree 	 sox-plugins-nonfree
Added 14_15 free 	 swftools
Added 14_15 free 	 VirtualBox
Added 14_15 free 	 VirtualBox-kmod
Added 15_16 free 	 bino
Added 15_16 free 	 fceux
Added 15_16 free 	 get-flash-videos
Added 15_16 nonfree 	 mari0
Added 15_16 free 	 minidlna
Added 15_16 free 	 mythweb
Added 16_17 free 	 ffmpegthumbs
Added 16_17 free 	 libshairport
Added 16_17 nonfree 	 pyskool
Added 17_18 nonfree 	 abuse
Added 17_18 nonfree 	 caja-dropbox
Added 17_18 nonfree 	 dega-sdl
Added 17_18 free 	 gstreamer1-libav
Added 17_18 free 	 gstreamer1-plugins-bad-freeworld
Added 17_18 free 	 gstreamer1-plugins-ugly
Added 17_18 free 	 mate-applet-streamer
Added 17_18 free 	 moc
Added 17_18 nonfree 	 perl-PGPLOT
Added 17_18 free 	 pxsup2dast
Added 17_18 nonfree 	 steam
Added 17_18 nonfree 	 TestU01
Added 18_19 nonfree 	 assaultcube
Added 18_19 free 	 dhewm3
Added 18_19 free 	 libbdplus
Added 18_19 nonfree 	 lpf-spotify-client
Added 18_19 free 	 mingw-libmad
Added 18_19 free 	 mpv
Added 18_19 nonfree 	 netfabb-basic
Added 18_19 free 	 qarte
Added 19_20 free 	 cairo-dock-freeworld
Added 19_20 nonfree 	 clipgrab
Added 19_20 free 	 kaffeine
Added 19_20 free 	 libopenshot
Added 19_20 free 	 libopenshot-audio
Added 19_20 nonfree 	 nautilus-dropbox
Added 19_20 nonfree 	 nemo-dropbox
Added 19_20 nonfree 	 nvidia-340xx-kmod
Added 19_20 free 	 pithos
Added 19_20 free 	 vdr-markad
Added 19_20 free 	 vdr-skindesigner
Added 19_20 free 	 vdr-softhddevice
Added 19_20 free 	 vokoscreen
Added 19_20 free 	 x265
Added 19_20 free 	 xine-lib
Added 19_20 free 	 xine-plugin
Added 19_20 free 	 xine-ui
Added 19_20 nonfree 	 xorg-x11-drv-nvidia-340xx
Added 19_20 free 	 xpra-codecs-freeworld
Added 20_21 free 	 aqualung
Added 20_21 free 	 kodi
Added 20_21 free 	 xvst
Added 22_23 free 	 devedeng
Added 22_23 free 	 ffmulticonverter
Added 22_23 free 	 flowblade
Added 22_23 free 	 freshplayerplugin
Added 22_23 nonfree 	 frobtads
Added 22_23 free 	 game-data-packager
Added 22_23 free 	 girl
Added 22_23 free 	 gnome-mpv
Added 22_23 nonfree 	 kisslicer
Added 22_23 free 	 kodi-platform
Added 22_23 free 	 libde265
Added 22_23 free 	 libdvbcsa
Added 22_23 free 	 libmp3splt
Added 22_23 free 	 lives
Added 22_23 free 	 mp3diags
Added 22_23 free 	 mp3splt
Added 22_23 free 	 mp3splt-gtk
Added 22_23 free 	 obs-studio
Added 22_23 free 	 qmplay2
Added 22_23 free 	 qt5-qtwebengine-freeworld
Added 22_23 free 	 qtav
Added 22_23 free 	 rfpkg
Added 22_23 free 	 rfpkg-minimal
Added 22_23 free 	 simplescreenrecorder
Added 22_23 free 	 tvheadend
Added 22_23 free 	 vdr-xineliboutput
Added 22_23 free 	 zboy
Added 23_24 free 	 acoustid-fingerprinter
Added 23_24 free 	 aegisub
Added 23_24 nonfree 	 fdk-aac
Added 23_24 nonfree 	 fdkaac
Added 23_24 free 	 ffms2
Added 23_24 free 	 lightspark
Added 23_24 free 	 rpmfusion-free-appstream-data
Added 23_24 nonfree 	 rpmfusion-nonfree-appstream-data
Added 23_24 free 	 telegram-desktop
Added 23_24 free 	 vdr-mpv
Added 23_24 free 	 vdr-plex
Added 23_24 free 	 vdr-tvguideng
Added 23_24 free 	 vdr-weatherforecast
Added 23_24 free 	 xt7-player-mpv
Added 24_25 nonfree 	 cannonball
Added 24_25 free 	 chromium-freeworld
Added 24_25 nonfree 	 dwarffortress
Added 24_25 nonfree 	 EmptyEpsilon
Added 24_25 free 	 fs-uae
Added 24_25 free 	 fs-uae-launcher
Added 24_25 free 	 kodi-inputstream-adaptive
Added 24_25 free 	 kodi-peripheral-joystick
Added 24_25 free 	 kodi-pvr-argustv
Added 24_25 free 	 kodi-pvr-demo
Added 24_25 free 	 kodi-pvr-dvblink
Added 24_25 free 	 kodi-pvr-dvbviewer
Added 24_25 free 	 kodi-pvr-filmon
Added 24_25 free 	 kodi-pvr-hts
Added 24_25 free 	 kodi-pvr-iptvsimple
Added 24_25 free 	 kodi-pvr-mediaportal-tvserver
Added 24_25 free 	 kodi-pvr-mythtv
Added 24_25 free 	 kodi-pvr-nextpvr
Added 24_25 free 	 kodi-pvr-njoy
Added 24_25 free 	 kodi-pvr-pctv
Added 24_25 free 	 kodi-pvr-stalker
Added 24_25 free 	 kodi-pvr-vbox
Added 24_25 free 	 kodi-pvr-vdr-vnsi
Added 24_25 free 	 kodi-pvr-vuplus
Added 24_25 free 	 kodi-pvr-wmc
Added 24_25 free 	 libtgvoip
Added 24_25 free 	 libvlcpp
Added 24_25 nonfree 	 lpf-cleartype-fonts
Added 24_25 nonfree 	 lpf-mscore-fonts
Added 24_25 nonfree 	 lpf-mscore-tahoma-fonts
Added 24_25 free 	 mlt-freeworld
Added 24_25 free 	 mp4tools
Added 24_25 nonfree 	 nvidia-modprobe
Added 24_25 nonfree 	 nvidia-persistenced
Added 24_25 nonfree 	 nvidia-settings
Added 24_25 nonfree 	 nvidia-xconfig
Added 24_25 free 	 pianobar
Added 24_25 free 	 tilem
Added 24_25 free 	 vdr-softhddevice-openglosd
Added 24_25 free 	 zoneminder
Added 25_26 free 	 comskip
Added 25_26 nonfree 	 discord
Added 25_26 nonfree 	 dwarftherapist
Added 25_26 free 	 fs-uae-arcade
Added 25_26 free 	 HandBrake
Added 25_26 free 	 kodi-visualization-spectrum
Added 25_26 free 	 medialibrary
Added 25_26 nonfree 	 nrdp
Added 25_26 free 	 qwinff
Added 25_26 free 	 shotcut
Added 25_26 nonfree 	 unifi
Added 25_26 free 	 vlmc
Added 26_27 free 	 crystalhd
Added 26_27 free 	 crystalhd-kmod
Added 26_27 free 	 deadbeef
Added 26_27 free 	 deadbeef-mpris2-plugin
Added 26_27 nonfree 	 dfhack
Added 26_27 nonfree 	 dynamips
Added 26_27 free 	 gr-dab
Added 26_27 free 	 ldoce5viewer
Added 26_27 nonfree 	 nvidia-390xx-kmod
Added 26_27 nonfree 	 nvidia-settings-390xx
Added 26_27 free 	 qtox
Added 26_27 nonfree 	 xorg-x11-drv-nvidia-390xx
Added 27_28 free 	 compat-ffmpeg28
Added 27_28 free 	 firebird-emu
Added 27_28 free 	 gimp-heif-plugin
Added 27_28 free 	 libftl
Added 27_28 free 	 libheif
Added 27_28 nonfree 	 megasync
Added 27_28 free 	 performous
Added 27_28 free 	 ppsspp
Added 27_28 free 	 rpmfusion-free-obsolete-packages
Added 27_28 nonfree 	 rpmfusion-nonfree-obsolete-packages
Added 27_28 nonfree 	 unifi-lts
Added 27_28 free 	 vdr-vaapidevice
Added 28_29 free 	 celluloid
Added 28_29 free 	 cinelerra-gg
Added 28_29 free 	 deepin-movie
Added 28_29 nonfree 	 intel-media-driver
Added 28_29 nonfree 	 mendeleydesktop
Added 28_29 free 	 mpc-qt
Added 28_29 free 	 olive
Added 28_29 free 	 plex-media-player
Added 28_29 free 	 pulseaudio-module-bluetooth-freeworld
Added 28_29 free 	 qmmp-plugin-pack-freeworld
Added 28_29 free 	 svt-hevc
Added 28_29 free 	 vlc-bittorrent
Added 29_30 free 	 curlew
Added 29_30 nonfree 	 dptfxtract
Added 29_30 nonfree 	 libspotify
Added 29_30 free 	 mpv-mpris
Added 29_30 free 	 qt-heif-image-plugin
Added 29_30 free 	 rfpkgdb-cli
Added 29_30 nonfree 	 ripcord
Added 29_30 free 	 smtube
Added 29_30 free 	 videomorph
Added 30_31 nonfree 	 pcsx2
Added 30_31 free 	 python-ffmpeg-normalize
Added 30_31 free 	 retroarch-freeworld
Added 30_31 nonfree 	 SDLPoP
Added 30_31 free 	 wf-recorder
Added 31_32 nonfree 	 iozone
Added 31_32 free 	 kodi-pvr-hdhomerun
Added 31_32 free 	 loudgain
Added 31_32 nonfree 	 p54pci-firmware
Added 31_32 free 	 slowmovideo
Added 31_32 free 	 tg_owt
Added 31_32 free 	 v4l2loopback
Added 31_32 free 	 v4l2loopback-kmod
Added 31_32 free 	 welle-io
Added 32_33 free 	 libfreeaptx
Added 32_33 free 	 libndi
Added 32_33 nonfree 	 ndi-sdk
Added 32_33 nonfree 	 nvidia-470xx-kmod
Added 32_33 nonfree 	 nvidia-settings-470xx
Added 32_33 nonfree 	 obs-ndi
Added 32_33 free 	 pipewire-codec-aptx
Added 32_33 free 	 plasma-wallpapers-dynamic
Added 32_33 free 	 tivodecode-ng
