Added 32_33 free 	 libfreeaptx
Added 32_33 free 	 libndi
Added 32_33 nonfree 	 ndi-sdk
Added 32_33 nonfree 	 nvidia-470xx-kmod
Added 32_33 nonfree 	 nvidia-settings-470xx
Added 32_33 nonfree 	 obs-ndi
Added 32_33 free 	 pipewire-codec-aptx
Added 32_33 free 	 plasma-wallpapers-dynamic
Added 32_33 free 	 tivodecode-ng
Added 32_33 nonfree 	 xorg-x11-drv-nvidia-470xx
Added 32_33 nonfree 	 zerotier-one
Removed 32_33 nonfree 	broadcom-bt-firmware
Removed 32_33 free 	deepin-screen-recorder
Removed 32_33 free 	fakenes
Removed 32_33 free 	freeguide
Removed 32_33 free 	gcube
Removed 32_33 free 	vidcutter
Removed 33_34 free 	deepin-music
Removed 33_34 free 	deepin-voice-recorder
Removed 33_34 nonfree 	dream
Removed 33_34 free 	exfat-utils
Removed 33_34 free 	fuse-exfat
Removed 33_34 nonfree 	lpf-flash-plugin
Removed 33_34 free 	openmw
Removed 33_34 free 	z-push
Removed 34_35 free 	chromium-browser-privacy
Removed 34_35 nonfree 	mopidy-spotify
Removed 34_35 free 	normalize
Removed 34_35 nonfree 	openhantek
Removed 34_35 nonfree 	pipelight
Removed 34_35 nonfree 	python-pyspotify
Removed 34_35 free 	rpmfusion-free-remix-kickstarts
Removed 34_35 nonfree 	rpmfusion-nonfree-remix-kickstarts
Removed 34_35 nonfree 	unace
Removed 34_35 free 	vcmi
Removed 34_35 free 	xmms-mplayer
